unix,low,high,open,close,volume,date,vol_fiat
1671062400,17318.85,17856.26,17805.36,17404.26,33937.11073202,2022-12-15,590650298.8288664
1670976000,17660.93,18385.36,17772.98,17804.97,49295.42072146,2022-12-14,877703487.0829737
1670889600,17089.17,17999.99,17212.9,17773.18,38316.03172467,2022-12-13,680997728.7282704
1670803200,16875.83,17244.63,17085.62,17211.66,20659.65709227,2022-12-12,355586993.5887399
1670716800,17073.19,17271.92,17128.1,17085.21,9948.85267032,2022-12-11,169978237.13147795
1670630400,17093.42,17227.64,17130.49,17128.1,7860.58687575,2022-12-10,134636918.06653357
1670544000,17060.69,17352.62,17226.03,17130.59,20976.63699864,2022-12-09,359342168.00253236
1670457600,16738.0,17300.59,16839.76,17226.01,23533.23453743,2022-12-08,405383733.4741145
1670371200,16679.52,17140.22,17089.18,16840.0,22635.46848793,2022-12-07,381181289.3367412
1670284800,16904.04,17111.35,16966.05,17089.05,26693.6101171,2022-12-06,456168437.9716278
1670198400,16865.22,17424.59,17108.9,16966.05,33618.45109026,2022-12-05,570372322.1199057
1670112000,16882.86,17199.99,16889.17,17108.9,16961.10828839,2022-12-04,290185905.5952357
1670025600,16863.58,17158.42,17094.25,16888.53,14081.4506716,2022-12-03,237815002.1108367
1669939200,16791.02,17108.25,16980.07,17094.71,23096.43686725,2022-12-02,394826890.2789472
1669852800,16855.0,17317.8,17165.44,16980.08,31798.99151828,2022-12-01,539949419.8997159
1669766400,16423.37,17259.37,16437.94,17167.33,42517.61172285,2022-11-30,729913871.2580346
1669680000,16092.53,16541.72,16206.23,16438.0,21901.9847881,2022-11-29,360024825.9467878
1669593600,15992.64,16478.32,16421.63,16206.3,30336.24756667,2022-11-28,491638328.939724
1669507200,16395.0,16589.43,16450.32,16419.88,10825.69525321,2022-11-27,177756616.97427782
1669420800,16376.1,16693.18,16510.9,16450.93,12308.57070713,2022-11-26,202487435.10304615
1669334400,16333.0,16610.08,16587.6,16510.9,20800.91157317,2022-11-25,343441770.8934526
1669248000,16450.62,16797.28,16585.83,16587.61,21819.50497344,2022-11-24,361933438.8924831
1669161600,16142.99,16700.0,16201.15,16587.0,37143.06609396,2022-11-23,616092037.3005145
1669075200,15596.22,16294.5,15758.96,16199.71,44555.90690195,2022-11-22,721792770.5985885
1668988800,15460.0,16279.99,16252.43,15760.14,43799.91803333,2022-11-21,690292840.1938055
1668902400,16154.65,16733.19,16680.7,16252.53,16685.1909604,2022-11-20,271176566.63962984
1668816000,16534.83,16802.0,16678.85,16683.02,9396.04770097,2022-11-19,156754451.71623653
1668729600,16526.28,16984.08,16680.47,16680.59,26970.34405749,2022-11-18,449881251.38192713
1668643200,16396.0,16736.7,16646.58,16680.47,22484.77507436,2022-11-17,375056616.0846098
1668556800,16358.66,16994.31,16879.37,16645.24,37249.70414522,2022-11-16,620030265.4261818
1668470400,16502.85,17107.88,16588.41,16877.93,48155.32053543,2022-11-15,812762129.1245501
1668384000,15790.25,17169.68,16298.75,16590.73,55601.93469977,2022-11-14,922476686.0815151
1668297600,16214.95,16926.57,16783.32,16301.39,23266.69734743,2022-11-13,379279507.4724219
1668211200,16595.25,17067.7,17014.78,16783.33,23830.0578576,2022-11-12,399947724.94319385
1668124800,16336.05,17641.32,17555.44,17013.62,64776.6547934,2022-11-11,1102085389.526086
1668038400,15720.0,18140.62,15894.77,17553.89,91496.98548059,2022-11-10,1606128018.4578738
1667952000,15512.0,18590.34,18546.07,15891.96,119633.96194081,2022-11-09,1901218137.8048747
1667865600,17500.0,20675.0,20593.34,18550.25,84056.63082724,2022-11-08,1559271516.0030088
1667779200,20394.34,21069.46,20908.15,20593.49,25279.82916936,2022-11-07,520599909.2009235
1667692800,20886.26,21365.89,21300.45,20909.17,10958.4932636,2022-11-06,229132998.5924672
1667606400,21082.54,21478.8,21149.03,21300.45,14076.70487828,2022-11-05,299840148.42455924
1667520000,20181.61,21298.76,20208.02,21144.2,42027.16281295,2022-11-04,888630735.9495775
1667433600,20032.02,20390.82,20151.29,20206.88,26837.37211156,2022-11-03,542299557.7736396
1667347200,20059.53,20805.0,20480.34,20151.4,43913.21904186,2022-11-02,884912842.2001376
1667260800,20326.55,20691.0,20489.55,20479.63,21147.00854592,2022-11-01,433082910.62727964
1667174400,20237.0,20837.68,20629.21,20489.94,22222.73611567,2022-10-31,455342529.64591134
1667088000,20523.92,20939.35,20822.38,20630.68,13737.38848362,2022-10-30,283411665.84124947
1667001600,20561.2,21080.0,20597.34,20823.53,19822.75126022,2022-10-29,412779655.549729
1666915200,20000.0,20755.09,20295.77,20597.91,29581.75150226,2022-10-28,609322255.0859163
1666828800,20196.01,20878.17,20773.59,20296.97,34123.58255469,2022-10-27,692605331.4050664
1666742400,20055.85,21022.81,20086.27,20775.4,43618.9919315,2022-10-26,906202004.9736851
1666656000,19240.76,20420.88,19332.11,20086.28,42452.33701168,2022-10-25,852709527.8709677
1666569600,19159.35,19603.57,19572.2,19330.41,29432.58356293,2022-10-24,568943907.6306977
1666483200,19070.92,19698.1,19209.09,19572.44,12086.31175412,2022-10-23,236558611.62880844
1666396800,19110.46,19257.66,19164.92,19209.1,7044.99034028,2022-10-22,135327923.94547254
1666310400,18659.0,19254.52,19043.66,19166.45,24206.36088454,2022-10-21,463950005.5754917
1666224000,18905.0,19349.04,19123.77,19042.48,28405.7559743,2022-10-20,540916040.0254883
1666137600,19062.1,19361.0,19328.75,19124.18,22284.13292808,2022-10-19,426165769.2605289
1666051200,19091.77,19702.73,19550.39,19328.76,27645.59742478,2022-10-18,534355117.6801906
1665964800,19154.72,19679.46,19261.62,19550.4,24137.12482696,2022-10-17,471890445.2169988
1665878400,19065.23,19425.49,19070.62,19264.44,8310.92834083,2022-10-16,160105380.36621907
1665792000,18983.0,19229.12,19179.15,19070.24,9062.82835275,2022-10-15,172830311.7657472
1665705600,19076.83,19954.14,19375.55,19178.0,46208.33260444,2022-10-14,886183402.6879504
1665619200,18131.0,19509.23,19153.97,19378.65,49160.49651762,2022-10-13,952664055.8411769
1665532800,18971.51,19235.26,19058.42,19155.92,24862.65344825,2022-10-12,476267000.44240105
1665446400,18855.19,19265.69,19130.8,19058.11,36248.01909763,2022-10-11,690818735.2447333
1665360000,19028.08,19528.04,19442.7,19132.83,26596.56843638,2022-10-10,508867622.47662437
1665273600,19321.0,19563.28,19421.49,19443.47,12537.63788265,2022-10-09,243775186.04216883
1665187200,19250.0,19628.78,19531.68,19419.39,9745.2545363,2022-10-08,189246898.48967886
1665100800,19325.0,20065.26,19963.75,19533.05,34938.97272677,2022-10-07,682464701.2206347
1665014400,19855.19,20455.79,20162.15,19965.64,44044.43606305,2022-10-06,879375354.4378736
1664928000,19750.0,20371.15,20345.27,20161.62,33542.20736149,2022-10-05,676265238.783564
1664841600,19495.32,20479.43,19632.43,20345.19,32685.41637125,2022-10-04,664991006.3021917
1664755200,18958.29,19717.67,19059.1,19633.46,28571.64018677,2022-10-03,560960154.7413414
1664668800,18923.81,19398.94,19315.26,19059.17,12951.42404465,2022-10-02,246843392.60907194
1664582400,19160.0,19486.43,19423.57,19315.27,7337.45595566,2022-10-01,141724942.89668092
1664496000,19154.38,20182.72,19595.59,19426.11,34243.66392923,2022-09-30,665221182.2922542
1664409600,18845.3,19646.66,19412.37,19595.57,34783.53737085,2022-09-29,681603241.398107
1664323200,18487.0,19773.67,19077.56,19412.07,43710.30467197,2022-09-28,848507494.0136087
1664236800,18821.55,20383.15,19226.94,19077.57,51860.03004114,2022-09-27,989363353.3119513
1664150400,18681.02,19320.86,18806.3,19228.0,33108.05445715,2022-09-26,636601671.1020802
1664064000,18619.88,19184.3,18920.93,18808.61,14499.16320537,2022-09-25,272709106.05615425
1663977600,18808.13,19311.4,19286.03,18923.2,17644.76169841,2022-09-24,333895354.5713521
1663891200,18529.0,19500.0,19399.93,19286.01,30781.38249694,2022-09-23,593650050.6498098
1663804800,18358.63,19521.8,18462.66,19401.25,41006.95212665,2022-09-22,795586129.9471684
1663718400,18153.13,19949.97,18876.14,18462.64,44344.46282424,2022-09-21,818715853.1173264
1663632000,18722.0,19638.46,19538.31,18876.91,27437.23361358,2022-09-20,517930189.5725244
1663545600,18255.0,19689.62,19417.56,19540.38,30961.4463315,2022-09-19,604998426.667116
1663459200,19335.57,20119.08,20113.37,19417.64,16437.90668757,2022-09-18,319185354.4128267
1663372800,19748.89,20183.14,19800.26,20113.37,11557.14724341,2022-09-17,232453178.65118536
1663286400,19305.0,19890.95,19703.65,19801.04,24863.81492556,2022-09-16,492329393.8936106
1663200000,19500.0,20336.42,20227.7,19703.67,21124.30384367,2022-09-15,416226311.9154053
1663113600,19625.0,20545.0,20174.78,20227.77,25139.52734416,2022-09-14,508516577.02637935
1663027200,19855.0,22800.0,22402.58,20174.78,37351.56014939,2022-09-13,753559508.6707104
1662940800,21555.0,22490.05,21830.16,22402.71,28404.49469955,2022-09-12,636337657.4505558
1662854400,21356.37,21865.66,21656.03,21831.72,14386.63340528,2022-09-11,314084952.2467195
1662768000,21127.1,21815.15,21366.61,21651.52,17750.76003376,2022-09-10,384330935.88615537
1662681600,19294.49,21616.21,19322.56,21364.5,39579.81208118,2022-09-09,845602895.2083702
1662595200,19014.43,19460.7,19293.03,19321.87,20327.61614165,2022-09-08,392767556.49886286
1662508800,18527.0,19466.09,18790.77,19293.52,25583.39915964,2022-09-07,493593823.35449755
1662422400,18663.25,20179.86,19794.59,18790.91,34029.11126955,2022-09-06,639437967.2460997
1662336000,19633.11,20060.0,20003.85,19794.58,13935.11385555,2022-09-05,275839726.02279294
1662249600,19588.27,20026.2,19833.59,20004.73,10670.60766559,2022-09-04,213462625.28605822
1662163200,19655.0,20053.9,19953.4,19835.47,9538.49811675,2022-09-03,189200593.23985112
1662076800,19755.0,20444.0,20132.67,19953.74,19929.54590305,2022-09-02,397668977.2675249
1661990400,19561.01,20205.53,20048.27,20133.65,23858.64862602,2022-09-01,480361680.9092676
1661904000,19799.97,20489.0,19813.97,20048.26,36587.60323535,2022-08-31,733517782.4391379
1661817600,19540.14,20582.64,20286.95,19813.17,46462.27938622,2022-08-30,920565040.0666724
1661731200,19545.57,20427.19,19552.31,20286.97,33436.35652183,2022-08-29,678322361.6676695
1661644800,19513.74,20164.26,20035.3,19554.03,17117.31912737,2022-08-28,334712571.7361668
1661558400,19800.0,20389.14,20240.63,20036.69,22160.97938125,2022-08-27,444032673.958498
1661472000,20112.78,21878.05,21561.49,20240.72,37169.02639568,2022-08-26,752327855.947568
1661385600,21307.32,21818.32,21367.12,21561.86,17065.2835044,2022-08-25,367959253.78218216
1661299200,21147.41,21925.0,21526.74,21367.12,22538.91385671,2022-08-24,481591677.0459854
1661212800,20889.69,21679.52,21396.37,21528.34,22744.05096265,2022-08-23,489641662.1012565
1661126400,20889.69,21540.0,21514.45,21398.25,26215.93682469,2022-08-22,560975170.1589228
1661040000,21067.33,21795.08,21139.22,21518.62,16024.82128336,2022-08-21,344832039.76453614
1660953600,20760.93,21372.93,20834.94,21139.23,21809.4048831,2022-08-20,461034025.986974
1660867200,20782.39,23206.76,23188.94,20834.94,45962.7257428,2022-08-19,957630633.0876935
1660780800,23107.27,23600.0,23344.42,23189.46,13825.6308966,2022-08-18,320608914.6514698
1660694400,23180.14,24448.49,23857.89,23341.17,22747.43895287,2022-08-17,530951839.6635606
1660608000,23668.0,24253.98,24099.7,23857.93,19601.90580439,2022-08-16,467660896.5477303
1660521600,23777.0,25214.57,24316.58,24097.82,27821.25610894,2022-08-15,670431621.8871365
1660435200,24151.63,25054.1,24456.17,24316.71,23306.17100393,2022-08-14,566729401.5129747
1660348800,24302.36,24898.91,24415.08,24456.49,13678.30446343,2022-08-13,334523316.3268312
1660262400,23600.01,24463.01,23944.85,24415.18,17244.15100332,2022-08-12,421019050.6932384
1660176000,23862.66,24929.99,23959.3,23944.86,29681.35922757,2022-08-11,710715991.3138717
1660089600,22666.23,24224.67,23158.32,23962.18,25974.49772434,2022-08-10,622405589.8802254
1660003200,22871.66,23929.35,23815.68,23158.27,22349.07822206,2022-08-09,517565987.7175855
1659916800,23158.32,24251.08,23180.26,23815.65,24093.33217697,2022-08-08,573798366.4604557
1659830400,22852.13,23405.02,22960.86,23177.39,8297.19227173,2022-08-07,192307261.18687218
1659744000,22917.49,23357.19,23320.71,22960.93,9285.19244923,2022-08-06,213196653.8632986
1659657600,22589.83,23478.58,22624.44,23320.81,26745.91293062,2022-08-05,623736353.7315322
1659571200,22392.88,23234.29,22824.88,22623.94,21755.96366822,2022-08-04,492205616.67198914
1659484800,22694.56,23650.96,22994.78,22825.0,23966.78092491,2022-08-03,547041774.6110708
1659398400,22659.06,23464.97,23273.85,22989.4,15013.77828925,2022-08-02,345157754.602884
1659312000,22850.0,23518.89,23307.44,23273.86,12543.48560075,2022-08-01,291935327.7838714
1659225600,23240.01,24192.18,23648.15,23307.44,7969.64723008,2022-07-31,185752074.63625577
1659139200,23516.11,24666.0,23787.84,23650.13,13265.47821461,2022-07-30,313730284.28769445
1659052800,23429.71,24450.0,23851.66,23784.5,18431.00204878,2022-07-29,438372168.2292079
1658966400,22580.86,24206.11,22960.74,23851.7,25681.25351287,2022-07-28,612541554.4129214
1658880000,21045.73,23110.73,21260.22,22962.59,24206.7301153,2022-07-27,555849218.8782866
1658793600,20715.0,21344.43,21312.06,21261.57,19333.35688939,2022-07-26,411057520.83874774
1658707200,21254.97,22665.74,22583.37,21313.41,22277.31378773,2022-07-25,474805522.45654243
1658620800,22263.85,23036.46,22451.36,22583.43,9132.96152481,2022-07-24,206253597.2882399
1658534400,21941.01,23006.16,22688.85,22450.69,12592.30066753,2022-07-23,282705838.67350906
1658448000,22505.56,23763.55,23152.76,22687.68,20884.25890814,2022-07-22,473815383.1450297
1658361600,22340.07,23434.65,23225.24,23153.96,24113.43095206,2022-07-21,558321415.7267592
1658275200,22899.0,24287.13,23398.46,23226.99,34094.81155381,2022-07-20,791919847.0122294
